1,766589
2,22086
3,2117
4,540
5,345
6,1896
7,413
8,1438
9,739
10,1119
11,694
12,932
13,5833
14,375
15,767
16,851
17,159
18,3868
19,40756
20,95
21,80
22,9
23,974
24,6953
25,416
26,196
27,1235
28,333
29,1815
30,2226
31,15857
32,644
33,4358
34,840
35,2043
36,392
37,421
38,1891
39,2127
40,150
41,27
42,286
43,2678
44,239
45,246
46,805
47,3521
48,480
49,1542
50,1371
51,128
52,15
53,2299
54,636
55,698
56,98
57,76
58,1934
59,98784
60,349
61,50301
62,238
63,21
64,144
65,73
66,2024
67,1282
68,808
69,493
70,404
71,617
72,169
73,112
74,65
75,482
76,692
77,143
78,114
79,1693
80,1800
81,1982
82,2258
83,244
84,581
85,786
86,4017
87,8307
88,189
89,1740
90,41
91,369
92,106
93,285
94,524
95,600
96,1796
97,10
98,35
99,83
100,41
101,25
102,19
103,3
104,25
105,25
106,4
107,70
108,26
109,2291
110,507
111,1770
112,118
113,967
114,6164
115,11226
116,1335
117,21610
118,329
119,6
120,1487
121,460
122,522
123,45
124,463
125,388
126,1021
127,184
128,2573
129,1817
130,1040
131,2590
132,1049
133,380
134,114
135,460
136,381
137,2061
138,4240
139,176
140,1200
141,236
142,8151
143,5260
144,52
145,46
146,25
147,172
148,23
149,507
150,2066
151,2331
152,235
153,10090
154,229
155,2541
156,22278
157,10423
158,1592
159,2421
160,5796
161,750
162,1296
163,101312
164,40806
165,2269
166,592
167,201
168,109
169,99
170,189
171,1373
172,899
173,6847
174,6233
175,610
176,902
177,393
178,1651
179,259
180,6301
181,1312
182,410
183,950
184,1391
185,413
186,291
187,3117
188,3995
189,1930
190,11051
191,437
192,952
193,144
194,136
195,281
196,897
197,364
198,129
199,511
200,70
201,1870
202,427
203,172
204,200
205,705
206,2104
207,1652
208,7767
209,15157
210,2538
211,5655
212,2500
213,9081
214,663
215,3801
216,2126
217,471
218,2020
219,445
220,4382
221,15697
222,9164
223,594
224,2238
225,3430
226,2902
227,1697
228,995
229,3114
230,48
231,679
232,40390
233,1158
234,29
235,223
236,215
237,655
238,36
239,1360
240,12
241,425
242,560
243,318
244,45
245,1633
246,19
247,321
248,609
249,592
250,92
251,946
252,16
253,265
254,443
255,197
256,25
257,4051
258,78
259,1174
260,1921
261,720
262,158
263,7789
264,139
265,1409
266,3074
267,2841
268,326
269,2155
270,81
271,771
272,610
273,205
274,488
275,1943
276,55
277,602
278,738
279,407
280,141
281,709
282,1
283,63
284,257
285,361
286,27
287,2297
288,44
289,485
290,1068
291,623
292,77
293,691
294,1
295,235
296,279
297,115
298,61
299,587
300,3
301,107
302,203
303,254
304,20
305,1410
306,19
307,387
308,638
309,338
310,28
311,1261
312,6
